1,33
1,33
1,33
1,7
1,4
1,4
1,33
1,33
1,11
1,33
1,5
1,3
1,3
1,6
1,19
1,3
2,3
2,3
2,2
2,3
2,3
2,2
2,2
2,2
3,3
3,2
3,3
3,3
4,2
4,2
5,3
1,3
1,4
1,4
1,4
1,4
1,3
1,3
1,5
1,3
1,3
1,4
1,3
1,2
1,33
1,5
1,21
2,2
2,3
2,3
2,2
2,2
2,2
2,3
2,2
3,2
3,2
3,3
3,3
4,2
4,2
5,3
1,4
1,4
1,8
1,3
1,7
1,3
1,8
1,3
1,33
1,3
1,5
1,33
1,26
1,3
1,3
1,33
2,2
2,2
2,2
2,2
2,3
2,2
2,3
2,3
3,2
3,2
3,3
3,3
4,2
4,3
5,2
1,3
1,16
1,3
1,4
1,3
1,7
1,33
1,4
1,3
1,4
1,2
1,5
1,4
1,30
1,3
1,8
2,3
2,2
2,2
2,2
2,2
2,2
2,3
2,3
3,2
3,3
3,2
3,3
4,2
4,2
5,2
1,6
1,3
1,18
1,33
1,3
1,3
1,29
1,3
1,4
1,5
1,12
1,9
1,3
1,6
1,3
1,4
2,2
2,3
2,2
2,2
2,2
2,3
2,3
2,2
3,3
3,3
3,3
3,2
4,2
4,2
5,2
1,8
1,7
1,6
1,33
1,31
1,2
1,3
1,4
1,4
1,5
1,3
1,2
1,10
1,11
1,19
1,20
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,3
4,3
4,3
5,2
1,3
1,3
1,3
1,4
1,33
1,3
1,29
1,33
1,2
1,9
1,11
1,10
1,2
1,3
1,3
1,3
2,2
2,2
2,3
2,3
2,2
2,3
2,2
2,2
3,2
3,3
3,3
3,2
4,3
4,2
5,3
1,3
1,4
1,8
1,7
1,25
1,5
1,7
1,3
1,15
1,8
1,3
1,9
1,7
1,9
1,6
1,5
2,2
2,2
2,3
2,3
2,2
2,2
2,2
2,2
3,2
3,2
3,3
3,2
4,2
4,3
5,2
1,6
1,5
1,3
1,27
1,9
1,3
1,33
1,4
1,3
1,3
1,9
1,3
1,3
1,21
1,9
1,33
2,3
2,3
2,2
2,3
2,2
2,2
2,3
2,3
3,2
3,2
3,3
3,3
4,2
4,2
5,2
1,3
1,4
1,4
1,18
1,3
1,3
1,3
1,3
1,4
1,2
1,3
1,5
1,5
1,33
1,2
1,3
2,2
2,3
2,2
2,2
2,2
2,2
2,3
2,2
3,2
3,2
3,2
3,3
4,2
4,2
5,2
